check_id,category,check,table,field,records_checked,records_failing,pct_failing,example_record_ids,affects,rule
U01,Uniqueness,Duplicate Application ID,Applications,Application ID,350,8,2.3,recGSUwByKNRw5ugN recPKXgzmuoBaSLui receoLsZYU1qm4tPS reckLPXA8xRgWsC1l recsR2Y6HZo9GiSb7,D1 channel; D1/D3 acceptance,`Application ID` shared by more than one record (after trimming and casefolding)
U02,Uniqueness,Application ID missing or not in expected format,Applications,Application ID,350,0,0.0,,D1 channel; D1/D3 acceptance,`Application ID` missing or not matching `APP-\d{5}`
U03,Uniqueness,Duplicate Candidate ID,Candidates,Candidate ID,300,0,0.0,,D1 channel,`Candidate ID` shared by more than one record (after trimming and casefolding)
U04,Uniqueness,Candidate ID missing or not in expected format,Candidates,Candidate ID,300,0,0.0,,D1 channel,`Candidate ID` missing or not matching `CAND-\d{5}`
U05,Uniqueness,Duplicate Offer ID,Offers,Offer ID,36,0,0.0,,D1/D3 acceptance,`Offer ID` shared by more than one record (after trimming and casefolding)
U06,Uniqueness,Offer ID missing or not in expected format,Offers,Offer ID,36,0,0.0,,D1/D3 acceptance,`Offer ID` missing or not matching `OFF-\d{5}`
U07,Uniqueness,Duplicate Interview ID,Interviews,Interview ID,160,0,0.0,,D2,`Interview ID` shared by more than one record (after trimming and casefolding)
U08,Uniqueness,Interview ID missing or not in expected format,Interviews,Interview ID,160,0,0.0,,D2,`Interview ID` missing or not matching `INT-\d{5}`
U09,Uniqueness,Duplicate Req ID,Job Openings,Req ID,24,0,0.0,,D2,`Req ID` shared by more than one record (after trimming and casefolding)
U10,Uniqueness,Req ID missing or not in expected format,Job Openings,Req ID,24,0,0.0,,D2,`Req ID` missing or not matching `REQ-\d{4}-\d{3}`
U11,Uniqueness,Duplicate Code,Departments,Code,8,0,0.0,,D2,`Code` shared by more than one record (after trimming and casefolding)
U12,Uniqueness,Code missing or not in expected format,Departments,Code,8,0,0.0,,D2,"`Code` missing or not matching `[A-Z]{2,4}`"
U13,Uniqueness,Duplicate Email,Candidates,Email,300,0,0.0,,D1 channel,`Email` shared by more than one record (after trimming and casefolding)
U14,Uniqueness,Duplicate Work Email,People,Work Email,14,0,0.0,,D2,`Work Email` shared by more than one record (after trimming and casefolding)
U15,Uniqueness,Duplicate Full Name,People,Full Name,14,0,0.0,,D2,`Full Name` shared by more than one record (after trimming and casefolding)
U16,Uniqueness,Duplicate Name,Departments,Name,8,0,0.0,,D2,`Name` shared by more than one record (after trimming and casefolding)
U17,Uniqueness,Same candidate applied to the same opening more than once,Applications,Candidate+Opening,350,6,1.7,rec2boXJI2mO6NvdL recF6Nq4dyCozd9Cs receoLsZYU1qm4tPS recjqevDefQTd1YgU recrCOYOF6KWpUmqW,D1 channel; D1/D3 acceptance,More than one application with the same Candidate and Opening links
U18,Uniqueness,"Likely duplicate candidate: same name and phone, different email",Candidates,Full Name+Phone+Email,300,12,4.0,rec40qlITVvfTqKUW rec7Iz8z4Yub5PTlV rec8v1V35Qxg2qsjL recCHwuvmFEnREk0M recJYEsd93C0FgfMW,D1 channel; D1/D3 acceptance,Candidates whose normalised name and phone digits match another candidate but whose email differs; all records in each group are counted
U19,Uniqueness,Same phone number on candidates with different names,Candidates,Phone,300,0,0.0,,D1 channel,Phone digits shared by candidates whose names differ
U20,Uniqueness,"Same name, different phone and email (namesakes or undetected duplicates)",Candidates,Full Name,300,0,0.0,,D1 channel,Normalised name shared by candidates with all-distinct phones and emails
U21,Uniqueness,Candidate has more than one Hired application,Candidates,Applications.Stage,24,2,8.3,rec4TPTco4kDfU2DJ recykIELP765EIWgr,D1 channel,Candidates with ≥1 application at Stage=Hired; fails if more than one
U22,Uniqueness,Candidate has more than one Accepted offer,Candidates,Offers.Status,24,2,8.3,rec4TPTco4kDfU2DJ recykIELP765EIWgr,D1/D3 acceptance,Candidates with ≥1 Accepted offer (via Offers.Application → Applications.Candidate); fails if more than one
U23,Uniqueness,Same interview round recorded more than once for an application,Interviews,Application+Round,160,0,0.0,,D2,More than one interview with the same Application and Round (can be a legitimate reschedule; see Outcome)
L01,Link integrity,Applications.Candidate → Candidates: target exists and links back,Applications,Candidate,350,0,0.0,,D1 channel; D1/D3 acceptance,Every record ID in `Applications.Candidate` exists in Candidates and that record's `Applications` contains the source record
L02,Link integrity,Applications.Candidate should hold exactly one link,Applications,Candidate,350,0,0.0,,D1 channel; D1/D3 acceptance,`Applications.Candidate` must hold exactly one linked record
L03,Link integrity,Candidates.Applications → Applications: target exists and links back,Candidates,Applications,300,0,0.0,,D1 channel; D1/D3 acceptance,Every record ID in `Candidates.Applications` exists in Applications and that record's `Candidate` contains the source record
L04,Link integrity,Candidates.Applications should hold at least one link,Candidates,Applications,300,0,0.0,,D1 channel; D1/D3 acceptance,`Candidates.Applications` must hold at least one linked record
L05,Link integrity,Applications.Opening → Job Openings: target exists and links back,Applications,Opening,350,0,0.0,,D2,Every record ID in `Applications.Opening` exists in Job Openings and that record's `Applications` contains the source record
L06,Link integrity,Applications.Opening should hold exactly one link,Applications,Opening,350,0,0.0,,D2,`Applications.Opening` must hold exactly one linked record
L07,Link integrity,Job Openings.Applications → Applications: target exists and links back,Job Openings,Applications,24,0,0.0,,D2,Every record ID in `Job Openings.Applications` exists in Applications and that record's `Opening` contains the source record
L08,Link integrity,Applications.Recruiter → People: target exists and links back,Applications,Recruiter,350,0,0.0,,D2,Every record ID in `Applications.Recruiter` exists in People and that record's `Applications as Recruiter` contains the source record
L09,Link integrity,Applications.Recruiter should hold exactly one link,Applications,Recruiter,350,0,0.0,,D2,`Applications.Recruiter` must hold exactly one linked record
L10,Link integrity,People.Applications as Recruiter → Applications: target exists and links back,People,Applications as Recruiter,4,0,0.0,,D2,Every record ID in `People.Applications as Recruiter` exists in Applications and that record's `Recruiter` contains the source record
L11,Link integrity,Applications.Interviews → Interviews: target exists and links back,Applications,Interviews,143,0,0.0,,D2,Every record ID in `Applications.Interviews` exists in Interviews and that record's `Application` contains the source record
L12,Link integrity,Interviews.Application → Applications: target exists and links back,Interviews,Application,160,0,0.0,,D2,Every record ID in `Interviews.Application` exists in Applications and that record's `Interviews` contains the source record
L13,Link integrity,Interviews.Application should hold exactly one link,Interviews,Application,160,0,0.0,,D2,`Interviews.Application` must hold exactly one linked record
L14,Link integrity,Applications.Offers → Offers: target exists and links back,Applications,Offers,36,0,0.0,,D1/D3 acceptance,Every record ID in `Applications.Offers` exists in Offers and that record's `Application` contains the source record
